ModelID,ProfileID,ProfileType
ACH-002659,PR-AQQ8je,dna
ACH-001106,PR-g3t2bv,rna
ACH-001106,PR-JEv1oA,dna
ACH-002240,PR-cPO7yw,dna
ACH-002792,PR-SaRcOg,rna
ACH-002792,PR-5YT1OE,dna
ACH-002209,PR-IfWBJl,dna
ACH-000840,PR-7YMowa,rna
ACH-000840,PR-qmmet5,dna
ACH-000003,PR-jIbcm8,rna
ACH-000278,PR-P5yLUL,rna
ACH-000278,PR-ZYtjVT,dna
ACH-000272,PR-AsiaZV,rna
ACH-000272,PR-tqUPnF,dna
ACH-000398,PR-lsm4JW,rna
ACH-000398,PR-eUFjmR,dna
ACH-001852,PR-eAkhgm,rna
ACH-001852,PR-aSfLU6,dna
ACH-000025,PR-1x4KRV,rna
ACH-000025,PR-OojYLt,dna
ACH-000453,PR-IobBeJ,rna
ACH-000453,PR-mXUTIx,dna
ACH-001719,PR-CLUusD,rna
ACH-001719,PR-nHAA3n,dna
ACH-000638,PR-l8Di5B,rna
ACH-000638,PR-727ZKc,dna
ACH-000046,PR-s5pYAd,rna
ACH-000046,PR-NXn9fL,dna
ACH-000640,PR-WefPGM,rna
ACH-000640,PR-PNKnmM,dna
ACH-000228,PR-I3AQvS,rna
ACH-000228,PR-fsqxV3,dna
ACH-000464,PR-V7nTHQ,rna
ACH-000464,PR-sKTs2p,dna
ACH-001980,PR-y9tBiy,rna
ACH-001980,PR-qLmgDV,dna
ACH-000114,PR-afq7Fp,rna
ACH-000114,PR-cIskZW,dna
ACH-002247,PR-8EE2ka,dna
ACH-000154,PR-1jxOSO,rna
ACH-000154,PR-vW8e3y,dna
ACH-000117,PR-Twe0Mn,rna
ACH-000117,PR-RG9TgA,dna
ACH-000093,PR-PUM4OM,rna
ACH-000093,PR-0riUD0,dna
ACH-000823,PR-4rthc9,rna
ACH-000823,PR-Ru1ESx,dna
ACH-000757,PR-6hVuX7,rna
ACH-000757,PR-og81ZO,dna
ACH-000941,PR-8ALmei,rna
ACH-000941,PR-SmHH3N,dna
ACH-000484,PR-NL32EM,rna
ACH-000484,PR-vct1gT,dna
ACH-000271,PR-N67v1C,rna
ACH-000271,PR-9eJ7rS,dna
ACH-001670,PR-9n6z5S,rna
ACH-001670,PR-i4s165,dna
ACH-001328,PR-SbVRrq,rna
ACH-001328,PR-qCwKEA,dna
ACH-001695,PR-D1Ah7e,rna
ACH-001695,PR-hMA5Xe,dna
ACH-002994,PR-UC14U6,rna
ACH-002994,PR-LnyWEs,dna
ACH-001188,PR-91uSGU,rna
ACH-001188,PR-B8MLf4,dna
ACH-000655,PR-7nSGqD,rna
ACH-000655,PR-HvE8oO,dna
ACH-000139,PR-zMyZxq,rna
ACH-000139,PR-uyeqvA,dna
ACH-000508,PR-7aOBrs,rna
ACH-000508,PR-1ah9FQ,dna
ACH-000111,PR-nGkQDN,rna
ACH-000111,PR-bceThz,dna
ACH-002647,PR-Qi0kuT,rna
ACH-002647,PR-lsXdrW,dna
ACH-002038,PR-wgc6Rb,rna
ACH-002038,PR-wNBi2F,dna
ACH-000291,PR-rgeHwh,rna
ACH-000291,PR-LTIJeY,dna
ACH-002089,PR-WZtkzQ,dna
ACH-000118,PR-dJ1sOb,rna
ACH-000118,PR-ey4Yyh,dna
ACH-001981,PR-JPWthD,rna
ACH-001981,PR-DIFe3r,dna
ACH-001059,PR-7lDaBF,rna
ACH-001059,PR-tEpLCL,dna
ACH-002229,PR-tILCVb,dna
ACH-003471,PR-DjQTas,rna
ACH-003471,PR-4uNl0E,dna
ACH-000233,PR-z36vet,rna
ACH-000233,PR-bR1uy1,dna
ACH-001835,PR-vtvyQ4,rna
ACH-001835,PR-8nhMR6,dna
ACH-000151,PR-RMPZ9P,rna
ACH-000151,PR-rCsB4y,dna
ACH-002316,PR-DXR2Qg,dna
ACH-000618,PR-5JIUJb,rna
ACH-000618,PR-poHcHD,dna
ACH-002151,PR-IDcomg,dna
ACH-000380,PR-dHuyK6,rna
ACH-000380,PR-VfXZwU,dna
ACH-000443,PR-CNjF7V,rna
ACH-000443,PR-B7qAWp,dna
ACH-000501,PR-FrTsTb,rna
ACH-000501,PR-qqdlfv,dna
ACH-000674,PR-8TtCLZ,rna
ACH-000674,PR-6SYPcz,dna
ACH-002002,PR-3AAPDM,rna
ACH-002002,PR-hclMO0,dna
ACH-000496,PR-egPx75,rna
ACH-000496,PR-1TN3aP,dna
ACH-000811,PR-dn3OOX,rna
ACH-000811,PR-Mrn0df,dna
ACH-000849,PR-WRsCFG,rna
ACH-000849,PR-p32XuQ,dna
ACH-000179,PR-rRpKv7,rna
ACH-000179,PR-w9vaqz,dna
ACH-002011,PR-DMRFet,rna
ACH-002011,PR-JOlhYh,dna
ACH-001354,PR-hOYnpE,rna
ACH-001354,PR-lkcttP,dna
ACH-000141,PR-Hdt4Xh,rna
ACH-000141,PR-6AvZgM,dna
ACH-002445,PR-R1jC76,dna
ACH-002124,PR-U81Lgm,dna
ACH-000212,PR-3yfy2J,rna
ACH-000212,PR-a2Kg84,dna
ACH-002653,PR-Kx2ZeO,rna
ACH-002653,PR-Dv7zCN,dna
ACH-000894,PR-Rzimzl,rna
ACH-000894,PR-VuD5rl,dna
ACH-000918,PR-R9vkx1,rna
ACH-000918,PR-doNNha,dna
ACH-001277,PR-yg9vCe,rna
ACH-001277,PR-kPl0Je,dna
ACH-000402,PR-aiDTwa,rna
ACH-000402,PR-uKiczK,dna
ACH-003470,PR-Br8W2t,rna
ACH-003470,PR-5n4TMD,dna
ACH-002201,PR-loIhBM,dna
ACH-001054,PR-QwGwjX,rna
ACH-001054,PR-l2porG,dna
ACH-002349,PR-HEJeS7,dna
ACH-003100,PR-Th4bF7,rna
ACH-003100,PR-IW3DXn,dna
ACH-000838,PR-COMOCq,rna
ACH-000838,PR-HRA6lV,dna
ACH-002254,PR-0l1GM0,dna
ACH-002170,PR-o9pyWs,rna
ACH-002170,PR-tQFHsq,dna
ACH-000301,PR-dfTNsL,rna
ACH-000301,PR-qoc7KB,dna
ACH-000052,PR-AsIpQ0,rna
ACH-000052,PR-XZ0NkH,dna
ACH-000186,PR-IQFAyH,rna
ACH-000186,PR-hwbxfR,dna
ACH-001064,PR-q2SMd8,rna
ACH-001064,PR-QjtQz3,dna
ACH-000697,PR-M1wKxf,rna
ACH-000697,PR-ODzNZa,dna
ACH-000298,PR-jY2rQ7,rna
ACH-000298,PR-6MK3Tx,dna
ACH-000977,PR-KQ9B2h,rna
ACH-000977,PR-MFYhaf,dna
ACH-000526,PR-MCEQt7,rna
ACH-001541,PR-skeXpP,rna
ACH-001541,PR-EDZlOB,dna
ACH-000729,PR-b4X253,rna
ACH-000729,PR-9B3rkC,dna
ACH-002446,PR-db4XQ1,rna
ACH-002446,PR-H1MJSv,dna
ACH-002800,PR-GCzFCg,rna
ACH-002800,PR-Gjnn57,dna
ACH-001039,PR-HrvPOg,dna
ACH-001676,PR-7WsXyl,rna
ACH-001676,PR-W6TbGf,dna
ACH-002013,PR-6sQtx5,rna
ACH-002013,PR-mML1gU,dna
ACH-002346,PR-V4DbaQ,dna
ACH-001278,PR-KdzdLk,rna
ACH-001278,PR-1TpRzd,dna
ACH-000031,PR-kae4Ed,rna
ACH-000031,PR-vaaJsg,dna
ACH-002129,PR-9NqR7V,dna
ACH-002689,PR-gRFGWY,rna
ACH-002689,PR-vhCGJp,dna
ACH-002834,PR-RQpWc6,rna
ACH-002834,PR-JA68S6,dna
ACH-002350,PR-JToJzQ,dna
ACH-003108,PR-yqzRgs,rna
ACH-003108,PR-f3Q8vc,dna
ACH-002389,PR-NMyopl,dna
ACH-000407,PR-KeLeDP,rna
ACH-000407,PR-4EPjPy,dna
ACH-003119,PR-qlLu1I,rna
ACH-003119,PR-vgMZdF,dna
ACH-000479,PR-ND6vCk,rna
ACH-000479,PR-tobJgm,dna
ACH-000671,PR-DTiiT4,rna
ACH-000671,PR-oFRLBK,dna
ACH-000387,PR-6NiRv5,rna
ACH-000387,PR-OXY6i8,dna
ACH-000267,PR-krQKxB,rna
ACH-000267,PR-KYx8aG,dna
ACH-000559,PR-6GNlMN,rna
ACH-000559,PR-pQYCmp,dna
ACH-000481,PR-oxG0N4,rna
ACH-000481,PR-R8t2N2,dna
ACH-001993,PR-oy2nGQ,rna
ACH-001993,PR-Yjy61f,dna
ACH-000206,PR-by8s63,rna
ACH-000206,PR-kmc4Ev,dna
ACH-001440,PR-O9WZM4,rna
ACH-001440,PR-Mz1e3q,dna
ACH-003106,PR-jDSHjO,rna
ACH-003106,PR-Y4M65x,dna
ACH-000884,PR-IZideS,rna
ACH-000884,PR-70d3re,dna
ACH-000193,PR-ZAEIch,rna
ACH-000193,PR-ZoU1XK,dna
ACH-003455,PR-cISu2c,rna
ACH-003455,PR-67RLdg,dna
ACH-000621,PR-IyMe0n,rna
ACH-000621,PR-xTlIdk,dna
ACH-001057,PR-OUll2l,rna
ACH-001057,PR-sX8XAW,dna
ACH-003156,PR-CPi0aO,rna
ACH-001422,PR-opAztY,rna
ACH-001422,PR-Mupa85,dna
ACH-000248,PR-LTYzDI,rna
ACH-000248,PR-7wfZWS,dna
ACH-000610,PR-Wy4KP0,rna
ACH-000610,PR-ECBoGq,dna
ACH-002937,PR-lwPo0S,rna
ACH-002937,PR-q5rdqp,dna
ACH-000847,PR-KAmnin,rna
ACH-000847,PR-Fad1YD,dna
ACH-000438,PR-UHauzg,rna
ACH-000438,PR-9NBf5C,dna
ACH-000131,PR-q52RyG,rna
ACH-000131,PR-CiXXaA,dna
ACH-000116,PR-GxfIvz,rna
ACH-000116,PR-EjK0zK,dna
ACH-000804,PR-6rFlzp,rna
ACH-000804,PR-Yr8PjQ,dna
ACH-000411,PR-0hvX2B,rna
ACH-000411,PR-xzgAl0,dna
ACH-002925,PR-NutTgt,rna
ACH-002925,PR-dUc5lh,dna
ACH-001374,PR-CXgB39,rna
ACH-001374,PR-RPURmp,dna
ACH-000758,PR-WF1VR0,rna
ACH-000758,PR-JZDjEe,dna
ACH-002197,PR-nMG9sD,dna
ACH-000725,PR-qdfr4v,rna
ACH-000725,PR-2AxAKM,dna
ACH-000083,PR-YkCbAa,rna
ACH-000083,PR-QnZ5wx,dna
ACH-000090,PR-GVYUEQ,rna
ACH-000090,PR-cO6ZzX,dna
ACH-002648,PR-f3tLbT,rna
ACH-002648,PR-XxnYbe,dna
ACH-002143,PR-VLl1A3,dna
ACH-000519,PR-5zjzIV,rna
ACH-000519,PR-pTi2a3,dna
ACH-001988,PR-XDv687,rna
ACH-001988,PR-C79Gem,dna
ACH-001061,PR-Yj8c1P,rna
ACH-001061,PR-v728kC,dna
ACH-000349,PR-KhMQv7,rna
ACH-000349,PR-vhQ7Yl,dna
ACH-001430,PR-BXcm6p,rna
ACH-001430,PR-oOIkJ2,dna
ACH-001737,PR-43bz8T,rna
ACH-001737,PR-Oa5yYx,dna
ACH-002662,PR-GAh7JK,rna
ACH-002662,PR-5McWUB,dna
ACH-001028,PR-TWEctl,rna
ACH-001028,PR-cFjmC3,dna
ACH-000165,PR-IFztgM,rna
ACH-000165,PR-v6GkOV,dna
ACH-001138,PR-nRs8Pi,dna
ACH-000185,PR-ZaUICr,rna
ACH-001416,PR-D1mVVv,rna
ACH-001416,PR-fK9BDe,dna
ACH-000310,PR-nLF0wP,rna
ACH-000310,PR-ZzjQOA,dna
ACH-000237,PR-eIoI0L,rna
ACH-000237,PR-08baLC,dna
ACH-002438,PR-pGHJuj,rna
ACH-002438,PR-Jt5ZBG,dna
ACH-001100,PR-frZBxr,rna
ACH-001100,PR-2UB6KF,dna
ACH-000543,PR-AXgO9d,rna
ACH-000543,PR-4ceSCX,dna
ACH-000709,PR-VyJ2hP,rna
ACH-000709,PR-Y2Q9WR,dna
ACH-002206,PR-20INxP,dna
ACH-003459,PR-JDjdzO,rna
ACH-003459,PR-Zi3tBO,dna
ACH-000796,PR-lbGO9F,rna
ACH-000796,PR-zyM15A,dna
ACH-002380,PR-kFAA0q,dna
ACH-002202,PR-LYqPJx,dna
ACH-000581,PR-YIgOUP,rna
ACH-000581,PR-ijAF5c,dna
ACH-000910,PR-hjIWZF,rna
ACH-000910,PR-lujyGD,dna
ACH-003099,PR-z364eN,rna
ACH-003099,PR-ISgnyI,dna
ACH-001854,PR-F68AYZ,rna
ACH-001854,PR-EHnH3Z,dna
ACH-000622,PR-vlNETp,rna
ACH-000622,PR-F4kHPf,dna
ACH-000216,PR-0KetCf,rna
ACH-000216,PR-57besX,dna
ACH-000841,PR-baeuRn,rna
ACH-000841,PR-CmCc4i,dna
ACH-000077,PR-wNql0Y,rna
ACH-000077,PR-0H05VY,dna
ACH-001414,PR-924Yuh,rna
ACH-001414,PR-SWVq60,dna
ACH-000978,PR-8Hxi0Y,rna
ACH-000978,PR-IPei1i,dna
ACH-001532,PR-NyGOKy,rna
ACH-001532,PR-86Rnag,dna
ACH-000518,PR-lZHMTT,rna
ACH-000518,PR-TzMb0x,dna
ACH-000367,PR-9MFvRo,rna
ACH-000367,PR-4SIGBu,dna
ACH-001066,PR-2eSD2x,dna
ACH-000086,PR-Lq6HP8,rna
ACH-000086,PR-EqdpB5,dna
ACH-002108,PR-jp8FU0,dna
ACH-000807,PR-b0b93G,rna
ACH-000807,PR-jhR7Fa,dna
ACH-002302,PR-gNQqcU,dna
ACH-000881,PR-5edXPt,rna
ACH-000881,PR-o1Zpln,dna
ACH-000024,PR-3uXkJd,rna
ACH-000024,PR-PlVtvW,dna
ACH-000926,PR-i6syiS,rna
ACH-000926,PR-pcc7Wp,dna
ACH-002245,PR-v3s6l2,dna
ACH-002376,PR-CgIjIP,dna
ACH-000110,PR-XVEy74,rna
ACH-000110,PR-pHYEPj,dna
ACH-000749,PR-vg1ww6,rna
ACH-000749,PR-GK9z3H,dna
ACH-001559,PR-MqGXlV,rna
ACH-001559,PR-ymF7Fs,dna
ACH-002270,PR-BbwK1U,dna
ACH-000820,PR-kehIph,rna
ACH-000820,PR-QIV3db,dna
ACH-000423,PR-v3Os2O,rna
ACH-000423,PR-cI75AX,dna
ACH-001750,PR-tqXYYO,rna
ACH-001750,PR-G46D6E,dna
ACH-000282,PR-cSIQxK,rna
ACH-001982,PR-blpl7p,rna
ACH-001982,PR-7LkeqG,dna
ACH-001578,PR-MECfqO,rna
ACH-001578,PR-GI0vZ5,dna
ACH-002018,PR-ypHY9W,rna
ACH-002018,PR-uN6QIJ,dna
ACH-002262,PR-Yybm32,dna
ACH-000238,PR-rhV7Hn,rna
ACH-000238,PR-ez1rNy,dna
ACH-001492,PR-I70CUq,rna
ACH-001492,PR-qJdgaX,dna
ACH-000461,PR-7WaDe1,rna
ACH-000461,PR-6cgjNw,dna
ACH-000558,PR-pMPXff,rna
ACH-000558,PR-12SQGk,dna
ACH-002681,PR-uWaZFr,rna
ACH-002681,PR-UTZoJl,dna
ACH-000469,PR-LzVlId,rna
ACH-000469,PR-XqU6xJ,dna
ACH-003136,PR-ATfy3k,rna
ACH-002230,PR-0sb1bx,dna
ACH-002121,PR-0XQ6oe,dna
ACH-001651,PR-Cpjxyw,rna
ACH-001651,PR-EHVOVz,dna
ACH-001363,PR-K8jbg4,dna
ACH-001409,PR-0CHfFI,rna
ACH-001409,PR-C8mUzj,dna
ACH-000471,PR-zuUaCY,rna
ACH-000471,PR-O604SG,dna
ACH-000843,PR-p1iycB,rna
ACH-000843,PR-GmX4vm,dna
ACH-000968,PR-a0n7Th,rna
ACH-000968,PR-z6pIpO,dna
ACH-001096,PR-Z0WoJP,rna
ACH-001096,PR-bVxUlh,dna
ACH-000048,PR-z7HLNq,rna
ACH-000048,PR-KYeoP9,dna
ACH-000385,PR-ZL3HS1,rna
ACH-000385,PR-mURINF,dna
ACH-002135,PR-TQcwbW,dna
ACH-000148,PR-O8xhef,rna
ACH-000148,PR-h1jXJL,dna
ACH-003456,PR-R0u1U0,rna
ACH-003456,PR-q6ZR6Z,dna
ACH-002187,PR-P8Mmg9,dna
ACH-000904,PR-wPMVT8,rna
ACH-000599,PR-UdA6Kp,rna
ACH-000599,PR-vE6f3B,dna
ACH-002205,PR-KcHKzT,dna
ACH-002177,PR-R159B7,dna
ACH-000268,PR-KMtCQx,rna
ACH-000268,PR-iAFHQp,dna
ACH-000703,PR-oBJC9j,rna
ACH-000703,PR-gEc0bf,dna
ACH-003133,PR-Ie6hic,rna
ACH-002369,PR-SK0W61,dna
ACH-001493,PR-5TkdPd,rna
ACH-001493,PR-Nc2NbR,dna
ACH-002716,PR-BIk5Bx,rna
ACH-002716,PR-FNo80s,dna
ACH-000936,PR-Q9uNdS,rna
ACH-000936,PR-8octmu,dna
ACH-001396,PR-pNnoO8,rna
ACH-001396,PR-vP9GO6,dna
ACH-001192,PR-V4rEyG,rna
ACH-001192,PR-npwIay,dna
ACH-002467,PR-juxHEd,rna
ACH-002467,PR-sofYL7,dna
ACH-002044,PR-SkPYR5,rna
ACH-002044,PR-BlwAzJ,dna
ACH-002153,PR-aEbAHG,dna
ACH-003149,PR-L72CrI,rna
ACH-000786,PR-Ajq7QR,rna
ACH-000786,PR-vYutiJ,dna
ACH-001441,PR-eJ7KAg,rna
ACH-001441,PR-bLDw8z,dna
ACH-000892,PR-i3ekbD,rna
ACH-000892,PR-KYxq2O,dna
ACH-000800,PR-gckfgt,rna
ACH-000800,PR-tP3e6v,dna
ACH-000593,PR-fdFrgX,rna
ACH-000593,PR-wKsgIY,dna
ACH-001137,PR-fUygzs,dna
ACH-000361,PR-ny3Y0P,rna
ACH-000361,PR-wTKq7j,dna
ACH-000191,PR-IjyaXv,rna
ACH-000191,PR-QQ2dSy,dna
ACH-003437,PR-F4kvO5,rna
ACH-003437,PR-T5WTrk,dna
ACH-001024,PR-FzRGD4,dna
ACH-001745,PR-BaaI2U,rna
ACH-001745,PR-iTqaF5,dna
ACH-001796,PR-XXSMbl,rna
ACH-001796,PR-yZwrBZ,dna
ACH-000155,PR-IYwmYC,rna
ACH-000155,PR-75rvpO,dna
ACH-001857,PR-4BC6Pj,rna
ACH-001857,PR-TDMY1U,dna
ACH-000702,PR-dOGWG9,rna
ACH-000702,PR-74xMiY,dna
ACH-000513,PR-wo8I5z,rna
ACH-000513,PR-8EgLQ4,dna
ACH-002248,PR-XWNNMT,dna
ACH-002366,PR-KPFNpX,dna
ACH-002405,PR-N6ampE,rna
ACH-002405,PR-NjOMXr,dna
ACH-001367,PR-fc5apw,rna
ACH-001367,PR-PXfH6L,dna
ACH-000015,PR-NFoaZH,rna
ACH-000015,PR-l6NjDm,dna
ACH-000701,PR-RbKD1j,rna
ACH-000701,PR-0p3nvU,dna
ACH-001561,PR-q1pplf,rna
ACH-001561,PR-GABcbo,dna
ACH-000920,PR-x48Tva,rna
ACH-000920,PR-rhk7fT,dna
ACH-001442,PR-sI2lKl,rna
ACH-001442,PR-h8BzuB,dna
ACH-001648,PR-xOQnA3,rna
ACH-001648,PR-vnMZQb,dna
ACH-000034,PR-Vqo315,rna
ACH-002501,PR-rhltG7,rna
ACH-002501,PR-UAyqFG,dna
ACH-000075,PR-j5qZgy,rna
ACH-000075,PR-LWnUTV,dna
ACH-000242,PR-i9DRP1,rna
ACH-000242,PR-HCETwH,dna
ACH-002182,PR-wUsoa9,dna
ACH-001598,PR-PtnJhy,rna
ACH-001598,PR-R2MMJk,dna
ACH-001549,PR-ZCyTyS,rna
ACH-001549,PR-ObcI54,dna
ACH-002257,PR-Tek4yt,dna
ACH-001999,PR-9XFAK6,rna
ACH-001999,PR-fuJcby,dna
ACH-000537,PR-KjmX3f,rna
ACH-000537,PR-xQBHhh,dna
ACH-002204,PR-cqwJOU,dna
ACH-000561,PR-jsJhgm,rna
ACH-000561,PR-uFu7TD,dna
ACH-001705,PR-S7fGSK,rna
ACH-001705,PR-vZyZVM,dna
ACH-002243,PR-r7FfpC,dna
ACH-000583,PR-HLYtov,rna
ACH-000583,PR-hfq8Sa,dna
ACH-001647,PR-PQCYYM,rna
ACH-001647,PR-WKTDpU,dna
ACH-000104,PR-kFkV6M,rna
ACH-000104,PR-mqIBwn,dna
ACH-000312,PR-lh4UtC,rna
ACH-000312,PR-uC3q5l,dna
ACH-000727,PR-au8O9i,dna
ACH-000121,PR-uhDFo2,rna
ACH-000121,PR-WdRLig,dna
ACH-001383,PR-0o6ywu,dna
ACH-000783,PR-VsuSKA,rna
ACH-000783,PR-mvKyWh,dna
ACH-000416,PR-AexEWR,rna
ACH-000416,PR-zMVPxL,dna
ACH-000044,PR-UjJ531,rna
ACH-000044,PR-jd9GX1,dna
ACH-000714,PR-M1HSA6,rna
ACH-000714,PR-qCkqEL,dna
ACH-000252,PR-Y5v891,rna
ACH-000252,PR-77Wvzz,dna
ACH-000082,PR-erKBiR,rna
ACH-000082,PR-1Ju43a,dna
ACH-000468,PR-qf7nCW,rna
ACH-000468,PR-FNigiY,dna
ACH-000956,PR-6Z0exD,rna
ACH-000956,PR-CYz5sB,dna
ACH-002171,PR-jSG90W,dna
ACH-002313,PR-xnmF4E,dna
ACH-001548,PR-4PTNLB,rna
ACH-001548,PR-Nnk8dZ,dna
ACH-002928,PR-7LeZC9,rna
ACH-002928,PR-9PK8tK,dna
ACH-000403,PR-1WZfVC,rna
ACH-000403,PR-OqdVQy,dna
ACH-002042,PR-tZb7wy,rna
ACH-002042,PR-0sYHco,dna
ACH-000008,PR-bKcagB,rna
ACH-000008,PR-5uZoTw,dna
ACH-002458,PR-Pbv5XQ,rna
ACH-002458,PR-YtERYF,dna
ACH-002664,PR-VvSZhC,rna
ACH-002664,PR-b3YKAJ,dna
ACH-002306,PR-jVSw8t,dna
ACH-000049,PR-IHVTqn,rna
ACH-000491,PR-fzrmuo,rna
ACH-000491,PR-DRBE6q,dna
ACH-000171,PR-7InfbV,rna
ACH-000171,PR-ceGqfw,dna
ACH-002033,PR-dXbTnq,rna
ACH-002033,PR-BSfH86,dna
ACH-000784,PR-WqzRms,rna
ACH-000784,PR-5NFOUr,dna
ACH-000712,PR-wQ50pI,rna
ACH-000712,PR-uNZMrD,dna
ACH-000603,PR-m1IHlG,rna
ACH-000603,PR-EAWErG,dna
ACH-002510,PR-xrykC7,rna
ACH-002510,PR-rKEOie,dna
ACH-002019,PR-MbeEO0,rna
ACH-002019,PR-p0FcrJ,dna
ACH-000201,PR-tjmA5S,rna
ACH-000201,PR-da9eNd,dna
ACH-002141,PR-1ip1tY,dna
ACH-001049,PR-7eCkVg,dna
ACH-000747,PR-kCzPyo,rna
ACH-000747,PR-BhaMSr,dna
ACH-000940,PR-30x3GH,rna
ACH-000940,PR-hWzCnF,dna
ACH-002101,PR-7B1C9M,dna
ACH-001032,PR-NZKUk9,rna
ACH-001032,PR-WH8Zs5,dna
ACH-000243,PR-skQOuk,rna
ACH-000243,PR-VknXZz,dna
ACH-000249,PR-XCK2Mq,rna
ACH-000249,PR-gCW6Ej,dna
ACH-002274,PR-a87IXe,dna
ACH-000916,PR-OqFtv2,rna
ACH-000916,PR-WRtyNt,dna
ACH-000170,PR-SVHt1H,rna
ACH-000888,PR-PyjGv6,rna
ACH-000888,PR-YXlKWL,dna
ACH-001497,PR-nNtbWk,rna
ACH-001497,PR-dnLHT0,dna
ACH-002111,PR-y3wle9,dna
ACH-001958,PR-T80Hyf,dna
ACH-000060,PR-vsarxl,rna
ACH-000060,PR-d145Wa,dna
ACH-000028,PR-BOrAAN,rna
ACH-000028,PR-lWcPsZ,dna
ACH-000359,PR-2WXnzi,rna
ACH-000359,PR-Vts9ic,dna
ACH-002160,PR-jd06v8,dna
ACH-002214,PR-NDx4El,rna
ACH-002214,PR-i2pVuB,dna
ACH-000007,PR-nqKqcK,rna
ACH-000007,PR-xDiVzH,dna
